children__name,children__children__name,children__children__value,children__children__pct_sw,children__children__pct_robot,children__children__pct_ai,children__children__pct_sw_g,children__children__pct_robot_g,children__children__pct_ai_g,children__colname,name
,Mechanical engineering technologists and technicians    * Gyroscopic Engineering Technician* Heat Transfer Technician* Hydraulic Technician* Mechanical Engineering Technician* Optomechanical Technician,43.5,92,65,91,very high,medium to high,very high,,
,Medical equipment repairers    * BMET* Biomedical Electronics Technician* Biomedical Equipment Technician* Certified Biomedical Equipment Technician* Dental Equipment Mechanic* Dental Equipment Repairer* Durable Medical Equipment Repairer* Electromedical Equipment Technician* Radiology Equipment Servicer* Surgical Instrument Mechanic,53.900002,39,67,46,low to medium,high,low to medium,,
,Morticians undertakers and funeral arrangers    * Certified Mortician* Funeral Arrangement Director* Funeral Arranger* Funeral Director* Licensed Funeral Director,26.6,2,10,1,very low,very low,very low,,
,Nuclear medicine technologists    * Certified Nuclear Medicine Technologist* Isotope Technologist* Nuclear Cardiology Technologist* Nuclear Medical Technologist* Radioisotope Technologist* Registered Nuclear Medicine Technologist,18.5,87,60,58,very high,medium to high,medium to high,,
,Nuclear technicians    * Nuclear Monitoring Technician* Nuclear Technician* Radiation Protection Technician* Radiochemical Technician,6.6999998,92,65,91,very high,medium to high,very high,,
,Occupational therapy assistants    * COTA* Certified Occupational Therapy Assistant* Licensed Occupational Therapy Assistant* Occupational Therapist Assistants,47.099998,30,57,26,low,medium to high,low,,
,Paralegals and legal assistants    * Assistant Paralegal* Legal Aide* Legal Assistant* Paralegal* Summer Associate* Summer Law Clerk,337.79999,16,3,25,very low,very low,low,,
,Physical therapist assistants    * LPTA* Licensed Physical Therapist Assistant* Physical Therapy Assistant* Physical Therapy Technician* Physiotherapy Assistant,98.699997,30,57,26,low,medium to high,low,,
,Preschool teachers except special education    * Early Childhood Teacher* Head Start Teacher* Nursery School Teacher* Nursery Teacher* Pre-K Teacher* Pre-Kindergarten Teacher* Preschool Teacher,540.40002,30,51,44,low,medium to high,low to medium,,
,Radiation therapists    * Dosimetrist* Radiation Therapist* Radiation Therapy Technologist* Registered Radiation Therapist,18.5,26,22,54,low,low,medium to high,,
,Radio cellular and tower equipment installers and repairers    * Radio Frequency Technician* Radio Mechanic* Radio Repairer* Two-Way Radio Technician,15,69,68,58,high,high,medium to high,,
,Radiologic technologists and technicians    * Computed Axial Tomography Technologist* Computed Tomography (CT) Scanner Operator* Radiologic Technician* Registered Radiologic Technologist* Skiagrapher* X-Ray Technician,212,87,60,58,very high,medium to high,medium to high,,
,Respiratory therapists    * CRT* Certified Respiratory Therapist* Inhalation Therapist* Oxygen Therapist* RRT* Registered Respiratory Therapist* Respiratory Therapist,135.8,62,64,59,medium to high,medium to high,medium to high,,
,Veterinary technologists and technicians    * Certified Veterinary Technician* LVT* Licensed Veterinary Technician* Registered Veterinary Technician* Veterinary Lab Tech* Veterinary Laboratory Technician* Veterinary Surgery Technician* Veterinary Surgery Technologist* Veterinary Technologist* Veterinary X-Ray Operator,112.9,39,52,42,low to medium,medium to high,low to medium,,
,Web developers and digital interface designers,174.3,,,,,,,,
Bachelor's degree,Accountants and auditors    * Account Auditor* Accountant* Auditor* Auditor-In-Charge* CPA* Certified Public Accountant* Cost Accountant* Field Auditor* Financial Accountant* Financial Auditor* Fund Accountant* Internal Auditor* Payroll Auditor* Tax Accountant,1436.1,13,12,48,very low,very low,low to medium,level2,
,Actuaries    * Actuarial Associate* Actuarial Mathematician* Health Actuary* Insurance Actuary* Pricing Actuary* Product Development Actuary,27.700001,39,12,93,low to medium,very low,very high,,
,Administrative services and facilities managers,325.89999,50,26,68,low to medium,low,high,,
,Adult basic education adult secondary education and English as a Second Language instructors    * Adult Basic Studies Teacher* Adult Education Teacher* Adult Literacy Instructor* Adult Literacy Teacher* Adult Remedial Education Instructor* GED Instructor* General Educational Development (GED) Teacher* General Educational Development Teacher,59.299999,37,34,55,low to medium,low to medium,medium to high,,
,Advertising and promotions managers    * Advertising Director* Advertising Executive* Advertising Manager* Classified Advertising Manager* Promotion Manager* Promotions Director* VP Advertising* VP Promotions,28.6,68,37,82,high,low to medium,high,,
,Aerospace engineers    * Aerodynamics Engineer* Aeronautical Engineer* Aerospace Engineer* Aircraft Design Engineer* Aircraft Designer* Aircraft Engineer* Astronautical Engineer* Flight Systems Test Engineer* Flight Test Engineer* Wind Tunnel Engineer,66.400002,20,36,80,low,low to medium,high,,
,Agents and business managers of artists performers and athletes    * Artist Manager* Artist Representative* Author's Agent* Band Manager* Booking Agent* Booking Manager* Fight Manager* Literary Agent* Modeling Agent* Talent Agent* Talent Manager* Theatrical Agent,21.9,9,25,28,very low,low,low,,
,Agricultural engineers    * Agricultural Engineer* Agricultural Production Engineer* Agricultural Research Engineer* Farm Equipment Engineer* Research Agricultural Engineer,1.7,75,52,90,high,medium to high,very high,,
,Agricultural inspectors    * Cattle Examiner* Cattle Inspector* Grain Sampler* Meat and Poultry Inspector* Milk Tester* Wheat Inspector,15.2,82,67,93,high,high,very high,,
,Airline pilots copilots and flight engineers    * Airline Captain* Airline Pilot* Airline Pilot Flight Instructor* Airline Pilot In Command* Airline Pilot Second In Command* Airline Transport Pilot* Charter Pilot (Air Transport Pilot Certificate Required)* Charter Pilot (Airline)* Regional Airline Pilot,85.5,66,59,80,medium to high,medium to high,high,,
,Animal scientists    * Animal Geneticist* Animal Nutritionist* Animal Scientist* Beef Cattle Nutritionist* Dairy Scientist* Poultry Scientist* Swine Genetics Researcher,2.8,17,25,53,low,low,medium to high,,
,Arbitrators mediators and conciliators    * Alternative Dispute Resolution Coordinator* Mediation Commissioner* Ombudsman,7.3000002,40,16,79,low to medium,very low,high,,
,Architects except landscape and naval    * Building Architect* Building Architectural Designer* Structural Architect,129.89999,67,25,87,high,low,very high,,
,Architectural and engineering managers    * Electrical Engineering Director* Engineering Design Manager* Engineering Manager* Engineering Research Manager* Global Engineering Manager* Mechanical Engineering Director* Process Engineering Manager,198.10001,50,26,68,low to medium,low,high,,
,Art directors    * Art Director* Magazine Designer,99.099998,66,33,52,medium to high,low,medium to high,,
,Athletic trainers    * Athletic Trainer* Certified Athletic Trainer* Clinical Athletic Instructor* Resident Athletic Trainer,32.099998,39,52,42,low to medium,medium to high,low to medium,,
,Atmospheric and space scientists    * Atmospheric Chemist* Atmospheric Scientist* Climatologist* Hurricane Tracker* Meteorologist* Oceanographic Meteorologist* Space Scientist* Storm Chaser* Tornado Chaser* Warning Coordination Meteorologist* Weather Analyst* Weather Forecaster* Weatherman,9.8999996,44,16,100,low to medium,very low,very high,,
,Bioengineers and biomedical engineers    * Bio-Mechanical Engineer* Biochemical Engineer* Biomaterials Engineer* Biomedical Engineer* Dialysis Engineer* Genetic Engineer,21.200001,75,52,90,high,medium to high,very high,,
,Biological scientists all other    * Biologist* Bryologist* Embryologist* Osteologist* Paleobotanist* Phytopathologist* Plant Etiologist,44.700001,62,52,82,medium to high,medium to high,high,,
,Biological technicians    * Bacteriology Technician* Biochemistry Technician* Biology Laboratory Assistant* Marine Fisheries Technician* Microbiology Technician* Wildlife Technician,87.5,91,51,84,very high,medium to high,very high,,
,Broadcast announcers and radio disc jockeys    * Commercial Announcer* Game Show Host* Radio Artist* Radio Disk Jockey* Radio Host* Talk Show Host* Television Host,40.799999,17,17,9,low,low,very low,,
,Budget analysts    * Budget Analyst* Budget Coordinator* Budget Examiner* Budget Officer* Cost Analyst,55.400002,37,16,81,low to medium,very low,high,,
,Buyers and purchasing agents,449.29999,57,30.333334,88.333336,medium to high,low,very high,,
,Camera operators television video and film    * Cinematographer* Electronic News Gathering Camera Operator* Motion Picture Camera Operator* Movie Shot Camera Operator* News Camera Operator* News Videographer* Television Camera Operator* Video Camera Operator,29.700001,84,68,80,very high,high,high,,
,Career/technical education teachers middle school    * Middle School Vocational Education Teacher,11.8,22,14,40,low,very low,low to medium,,
,Career/technical education teachers postsecondary    * Architectural Drafting Instructor* Aviation Maintenance Instructor* Barbering Instructor* Barbering Teacher* Building Trades Instructor* Carpentry Instructor* Commercial Art Instructor* Computer Repair Instructor* Computer-Aided Drafting and Design Instructor* Cosmetology Professor* Electrical Technology Instructor* Electronics Technology Instructor* Industrial Electrical Technology Instructor* Industrial Maintenance Instructor* Machine Tool Technician Instructor* Masonry Instructor* Massage Therapy Instructor* Mechanical Maintenance Instructor* Paralegal Instructor* Postsecondary Career and Technical Education Teacher* Residential Construction Instructor* Skin Care Instructor* Upholstery Instructor* Vocational Horticulture Instructor* Welding Instructor,124.1,1,3,1,very low,very low,very low,,
,Career/technical education teachers secondary school    * High School Auto Repair Teacher* High School Vocational Education Teacher,73.800003,19,10,43,low,very low,low to medium,,
,Cartographers and photogrammetrists    * Cadastral Mapper* Digital Cartographer* Engineer Photogrammetric* Map Maker* Mapper* Orthophotography Technician* Photo Cartographer* Photogrammetrist* Topographer,12,80,54,84,high,medium to high,very high,,
,Chemical engineers    * Absorption and Adsorption Engineer* Chemical Process Engineer* Chemical Research Engineer* Fuels Engineer* Oxidation Engineer* Plastics Engineer* Polymerization Engineer* Refinery Process Engineer,32.599998,99,60,100,very high,medium to high,very high,,
,Chemists    * Agricultural Chemist* Analytical Chemist* Bench Chemist* Food Chemist* Formulary Chemist* Industrial Chemist* Inorganic Chemist* Laboratory Chemist* Nuclear Chemist* Organic Chemist* Quality Control Chemist* Research and Development Chemist,86.699997,47,18,85,low to medium,low,very high,,
,Chief executives    * CEO* COO* Chief Executive Officer* Chief Operating Officer* Commissioner of Internal Revenue* County Commissioner* Government Service Executive* Governor* Mayor,287.89999,30,9,28,low,very low,low,,
,Child family and school social workers    * C-CYFSW* Certified Children Youth and Family Social Worker* Child Abuse Worker* Child Protective Services Social Worker* Child Protective Services Specialist* Child Welfare Social Worker* Child Welfare Worker* Child and Family Services Worker* Family Preservation Caseworker* Family Preservation Worker* Family Service Caseworker* Foster Care Social Worker* Foster Care Worker* School Social Worker,342.5,20,17,60,low,low,medium to high,,
,Civil engineers    * Architectural Engineer* Bridge Engineer* Civil Engineer* Construction Engineer* Facilities Engineer* Geotechnical Engineer* Highway Engineer* Hydrographic Engineer* Railroad Design Consultant* Research Hydraulic Engineer* Structural Engineer,329.20001,45,18,85,low to medium,low,very high,,
,Clergy    * Cantor* Children's Pastor* College Chaplain* Hebrew Cantor* Hospital Chaplain* Imam* Minister* Parish Priest* Pastor* Priest* Rabbi* Reverend* Vicar* Youth Pastor,243.89999,5,1,2,very low,very low,very low,,
,Clinical laboratory technologists and technicians,337.79999,87,53,100,very high,medium to high,very high,,
,Coaches and scouts    * Athletic Coach* Baseball Coach* Baseball Scout* Basketball Coach* Boxing Trainer* Coach* Football Coach* Hockey Scout* Ice Skating Coach* Riding Coach* Ski Coach* Tennis Coach* Tennis Instructor,292,27,54,52,low,medium to high,medium to high,,
,Commercial and industrial designers    * Automobile Designer* Bank Note Designer* Bicycle Designer* Car Body Designer* Ceramic Designer* Ceramic Mold Designer* Furniture Designer* Package Designer* Rug Designer* Snowboard Designer* Textile Designer* Tile Designer* Toy Designer,42.200001,59,47,77,medium to high,low to medium,high,,
,Community and social service specialists all other    * Community Organization Worker* Veterans Service Officer,105.2,5,9,21,very low,very low,low,,
,Compensation and benefits managers    * Compensation Director* Employee Benefits Coordinator* Employee Benefits Director* Employee Benefits Manager* Wage and Salary Administrator,18,21,7,75,low,very low,high,,
,Compensation benefits and job analysis specialists    * Benefits Analyst* Compensation Analyst* Compensation Specialist* Employee Benefits Specialist* Job Analyst* Job Specification Writer* Occupational Analyst* Pension Administrator* Position Classification Specialist* Retirement Plan Specialist,94.400002,10,6,44,very low,very low,low to medium,,
,Compliance officers    * Air Pollution Compliance Inspector* Compliance Investigator* Driver's License Examiner* EEO Officer* Environmental Compliance Inspector* Equal Employment Opportunity Investigator* Equal Employment Opportunity Officer* Equal Employment Opportunity Representative* Immigration Investigator* Inspector of Weights and Measures* License Inspector* Mortician Investigator* Wage and Hour Investigator,337.60001,17,22,42,low,low,low to medium,,
,Computer and information systems managers    * Application Development Director* Chief Technology Officer* Computer Operations Manager* Computer Security Manager* Data Operations Director* Data Processing Manager* Information Systems Director* Information Systems Manager* Information Technology Director* Information Technology Systems Director* Internet Technology Manager* MIS Director* Management Information Systems Director,461,50,26,68,low to medium,low,high,,
,Computer hardware engineers    * Computer Hardware Designer* Computer Hardware Developer* Computer Hardware Engineer,71.099998,74,52,87,high,medium to high,very high,,
,Computer network architects,160.10001,,,,,,,,
,Computer occupations all other,431.10001,,,,,,,,
,Computer programmers,213.89999,,,,,,,,
,Computer systems analysts,632.40002,,,,,,,,
,Conservation scientists    * Conservation Science Officer* Conservation Scientist* Grassland Conservationist* Land Reclamation Specialist* Land Resource Specialist* Range Conservationist* Range Ecologist* Range Scientist* Resource Conservationist* Soil Conservationist* Water Conservationist,24.5,64,54,77,medium to high,medium to high,high,,
,Construction managers    * Construction Coordinator* Construction Superintendent* General Contractor* Masonry Contractor Administrator,476.70001,50,26,68,low to medium,low,high,,
,Cost estimators    * Construction Estimator* Construction Job Cost Estimator* Crating and Moving Estimator* Electrical Estimator* Job Estimator* Production Cost Estimator,214.2,50,26,68,low to medium,low,high,,
,Credit analysts    * Chief Credit Analyst* Credit Analyst* Credit Assessment Analyst* Credit Risk Analyst* Factorer,74.900002,37,16,81,low to medium,very low,high,,
,Credit counselors    * Credit Counselor* Debt Management Counselor* Financial Assistance Advisor* Loan Counselor,35.599998,37,16,81,low to medium,very low,high,,
,Data scientists and mathematical science occupations all other,33.200001,,,,,,,,
,Database administrators and architects,132.5,,,,,,,,
,Designers all other    * Memorial Marker Designer,13.6,59,47,77,medium to high,low to medium,high,,
,Dietitians and nutritionists    * Clinical Dietitian* Dietitian* Nutritionist* Pediatric Dietician* Public Health Dietitian* Public Health Nutritionist* Research Dietitian* Sports Nutritionist* Therapeutic Dietitian,74.199997,24,19,54,low,low,medium to high,,
,Directors religious activities and education    * Campus Ministry Director* Christian Education Minister* Education Minister* Parish Religious Education Director* Religious Activities Director* Religious Education Coordinator* Religious Education Director* Student Ministries Director* Youth Ministry Director,157.5,15,8,63,very low,very low,medium to high,,
,Editors    * Advertising Editor* Art Editor* Book Editor* Copy Desk Chief* Copy Editor* Index Editor* Manuscript Editor* Newspaper Photo Editor* Publications Editor* Rewrite Editor* Scientific Publications Editor* Sports Editor* Technical Editor,118.7,5,6,14,very low,very low,very low,,
,Education administrators all other,52.099998,26,13,63,low,very low,medium to high,,
,Education and childcare administrators preschool and daycare    * Childcare Center Administrator* Childcare Center Director* Early Head Start Director* Head Start Director* Prekindergarten Program Coordinator* Preschool Director,69.199997,26,13,63,low,very low,medium to high,,
,Educational instruction and library workers all other    * General Educational Development (GED) Examiner* Individualized Education Plan (IEP) Aide* Scholastic Aptitude Test (SAT) Grader,141.39999,,,,,,,,
,Electrical engineers    * Electrical Design Engineer* Electrical Engineer* Electrical Systems Engineer* Illuminating Engineer* Power Distribution Engineer,193.10001,74,52,87,high,medium to high,very high,,
,Electronics engineers except computer    * Antenna Engineer* Circuit Design Engineer* Electronic Design Automation Engineer* Electronic Engineer* Electronic Parts Designer* Telecommunication Engineer,134.89999,74,52,87,high,medium to high,very high,,
,Elementary school teachers except special education    * 3rd Grade Reading Teacher* 4th Grade Math Teacher* Elementary School Band Director* Elementary School Teacher* Grades 1 Thru 5 Teacher,1452.1,22,14,40,low,very low,low to medium,,
,Emergency management directors    * Director of Civil Defense* Disaster Response Director* EMS Director* Emergency Management System Director* Emergency Planner* Emergency Planning and Response Manager* Emergency Preparedness Coordinator* Emergency Services Director* Emergency Services Program Coordinator* Public Safety Director,10.4,50,26,68,low to medium,low,high,,
,Engineers all other    * Corrosion Control Engineer* Mathematical Engineer* Optical Engineer* Ordnance Engineer* Photonics Engineer* Salvage Engineer,170.10001,75,52,90,high,medium to high,very high,,
,Environmental engineers    * Air Pollution Control Engineer* Environmental Engineer* Environmental Remediation Engineer* Hazardous Substances Engineer* Hazardous Waste Management Control Engineer* Pollution Control Engineer* Soil Engineer* Waste Management Engineer* Wastewater Treatment Engineer* Water Treatment Plant Engineer,55.799999,75,52,90,high,medium to high,very high,,
,Environmental scientists and specialists including health    * Ecological Modeler* Environmental Analyst* Environmental Scientist* Hazardous Substances Scientist* Health Environmentalist* Water Pollution Scientist* Water Quality Analyst,90.900002,59,25,91,medium to high,low,very high,,
,Exercise physiologists    * Applied Exercise Physiologist* Clinical Exercise Physiologist* Kinesiotherapist,19.799999,43,22,78,low to medium,low,high,,
,Fashion designers    * Apparel Designer* Clothes Designer* Clothing Designer* Costume Designer* Custom Furrier* Dance Costume Designer* Dress Designer* Fashion Designer* Hat Designer* Sweater Designer* Uniform Designer,28.299999,59,47,77,medium to high,low to medium,high,,
,Film and video editors    * Cue Selector* Electronic News Gathering Editor* Film Editor* Movie Editor* News Video Editor* News Videotape Editor* Tape Editor* Television News Video Editor* Video Tape Transferrer,38.299999,84,68,80,very high,high,high,,
,Financial and investment analysts financial risk specialists and financial specialists all other,487.79999,37,16,81,low to medium,very low,high,,
,Financial examiners    * Bank Compliance Officer* Bank Examiner* Financial Compliance Examiner* Home Mortgage Disclosure Act Specialist* Payroll Examiner* Pension Examiner,66.900002,17,22,42,low,low,low to medium,,
,Financial managers    * Banking Center Manager* Banking Manager* City Comptroller* City Treasurer* Comptroller* Credit Manager* Financial Director* Financial Officer* Fiscal Manager* International Bank Manager* Residential Mortgage Manager,697.90002,28,7,67,low,very low,high,,
,Fine artists including painters sculptors and illustrators    * Book Illustrator* Caricature Artist* Comic Artist* Comic Book Artist* Comic Illustrator* Commercial Artist* Concrete Sculptor* Editorial Cartoonist* Fashion Illustrator* Free Lance Artist* Fresco Artist* Glass Artist* Ice Sculptor* Medical Illustrator* Mural Painter* Muralist* Non-Representational Metal Sculptor* Oil Painter* Pattern Illustrator* Political Cartoonist* Portrait Artist* Portrait Painter* Scientific Illustrator* Sketch Artist* Sports Cartoonist* Stained Glass Artist* Water Colorist* Watercolor Artist,28.299999,66,33,52,medium to high,low,medium to high,,
,Fish and game wardens    * Conservation Enforcement Officer* Fish Warden* Fish and Game Warden* Fish and Wildlife Warden* Game Warden* Wildlife Control Agent* Wildlife Officer* Wildlife and Game Protector,7.1999998,59,54,28,medium to high,medium to high,low,,
,Food scientists and technologists    * Dairy Bacteriologist* Enologist* Food Preservation Scientist* Food Processing Scientist* Food Safety Scientist* Food Scientist* Food Technologist,14.2,17,25,53,low,low,medium to high,,
,Forensic science technicians    * Ballistic Technician* Ballistician* Ballistics Expert* Crime Lab Technician* Crime Scene Technician* Criminalist Technician* Fingerprint Expert* Forensic Analyst* Forensic Science Technician* Handwriting Expert* Trace Evidence Technician* Wildlife Forensic Geneticist,17.200001,80,51,82,high,medium to high,high,,
,Foresters    * Environmental Protection Forester* Forest Ecologist* Forestry Scientist* Land Management Forester* Operations Forester* Resource Forester* Service Forester* Timber Management Specialist* Urban Forester,11.6,64,54,77,medium to high,medium to high,high,,
,Fundraisers    * Campaign Fundraiser* Donor Relations Officer* Fundraising Officer,100.6,24,19,54,low,low,medium to high,,
,General and operations managers    * Department Store General Manager* General Manager* General Superintendent* Manufacturing Operations Manager* Operations Manager* Radio Station Manager* Television Station Manager,2486.3999,50,26,68,low to medium,low,high,,
,Geographers    * Biogeographer* Economic Geographer* GIS Geographer* Geographer* Geomorphologist* Glaciologist* Physical Geographer* Political Geographer,1.6,59,41,87,medium to high,low to medium,very high,,
,Geoscientists except hydrologists and geographers    * Crystallographer* Development Geologist* Environmental Geologist* Exploration Geologist* Geochemist* Geodesist* Geologist* Geomagnetist* Geophysicist* Geoscientist* Mine Geologist* Mineralogist* Mining Production Geologist* Oceanographer* Oceanologist* Paleontologist* Petroleum Geologist* Petrologist* Research Geologist* Sedimentationist* Seismologist* Stratigrapher* Volcanologist,31.799999,59,25,91,medium to high,low,very high,,
,Graphic designers    * Catalogue Illustrator* Graphic Artist* Graphic Designer* Visual Designer,281.5,59,47,77,medium to high,low to medium,high,,
,Health and safety engineers except mining safety engineers and inspectors    * Fire Prevention Engineer* Fire Protection Engineer* Industrial Safety Engineer* Product Safety Engineer* Product Safety Test Engineer* System Safety Engineer,26.4,62,50,84,medium to high,low to medium,very high,,
,Health education specialists    * Certified Diabetes Educator* Certified Health Education Specialist* Community Health Education Coordinator* Diabetes Educator* Health Education Specialist* Health Educator* Public Health Educator,62.200001,5,9,21,very low,very low,low,,
,Human resources managers    * Employee Relations Manager* Job Analysis Manager* Labor Relations Director* Personnel Administrator* Personnel Director* Personnel Manager* Position Description Manager,165.2,21,7,75,low,very low,high,,
,Human resources specialists    * Corporate Recruiter* Credentialing Coordinator* Employee Placement Specialist* Human Resources Generalist* Job Placement Officer* Job Placement Specialist* Job Recruiter* Personnel Coordinator* Personnel Officer* Personnel Recruiter* Personnel Specialist* Staffing Coordinator,666.5,10,6,44,very low,very low,low to medium,,
,Hydrologists    * Hydrogeologist* Hydrologist* Isotope Hydrologist* Surface Hydrologist,7,59,25,91,medium to high,low,very high,,
,Industrial engineers    * Efficiency Engineer* Manufacturing Engineer* Packaging Engineer* Production Engineer,295.79999,62,50,84,medium to high,low to medium,very high,,
,Industrial production managers    * Industrial Production Manager* Manufacturing Director* Plant Chief* Plant Manager* Plant Superintendent* Production Control Manager,190.10001,50,26,68,low to medium,low,high,,
,Information security analysts,131,,,,,,,,
,Insurance underwriters    * Automobile and Property Underwriter* Bond Underwriter* Insurance Analyst* Insurance Underwriter* Insurance Writer* Underwriting Account Representative* Underwriting Service Representative,114.7,21,7,84,low,very low,very high,,
,Interior designers    * Certified Kitchen Designer* Furniture Arranger* Home Lighting Adviser* Interior Decorator* Interior Designer* Kitchen Designer* Kitchen and Bath Designer,77.900002,59,47,77,medium to high,low to medium,high,,
,Interpreters and translators    * American Sign Language Interpreter* Court Interpreter* Deaf Interpreter* Diplomatic Interpreter* Language Translator* Translator,77.400002,1,1,1,very low,very low,very low,,
,Kindergarten teachers except special education    * Bilingual Kindergarten Teacher* Kindergarten Teacher,127.7,30,51,44,low,medium to high,low to medium,,
,Labor relations specialists    * Employee Relations Specialist* Industrial Relations Analyst* Industrial Relations Specialist* Labor Relations Consultant* Labor Relations Representative* Union Representative,78.900002,10,6,44,very low,very low,low to medium,,
,Landscape architects    * Golf Course Architect* Golf Course Designer* Landscape Designer* Lanscape Architect,24.5,67,25,87,high,low,very high,,
